,Frequency,Mass,Damping ratio
Mode1,3.889809036,1000,0.015
Mode2,5.539524504,1000,0.015
Mode3,5.685293509,1000,0.015
Mode4,6.63387205,1000,0.015
Mode5,6.642222595,1000,0.015
Mode6,8.021268257,1000,0.015
Mode7,9.344540187,1000,0.015
Mode8,11.98575023,1000,0.015
Mode9,12.09235497,1000,0.015
Mode10,13.00862857,1000,0.015
Mode11,13.45076829,1000,0.015
Mode12,14.15417085,1000,0.015
Mode13,14.40373466,1000,0.015
Mode14,14.44995118,1000,0.015
Mode15,18.45127715,1000,0.015
Mode16,18.97974035,1000,0.015
Mode17,20.11033048,1000,0.015
Mode18,20.42622062,1000,0.015
Mode19,21.82155316,1000,0.015
Mode20,22.59392328,1000,0.015
Mode21,23.61924211,1000,0.015
Mode22,24.30966373,1000,0.015
Mode23,24.54768476,1000,0.015
Mode24,26.44071686,1000,0.015
Mode25,27.29978958,1000,0.015
Mode26,27.31598381,1000,0.015
Mode27,27.6304992,1000,0.015
Mode28,27.9016393,1000,0.015
Mode29,28.40066534,1000,0.015
Mode30,30.36675967,1000,0.015
Mode31,30.86814421,1000,0.015
Mode32,31.75219968,1000,0.015
Mode33,31.94366853,1000,0.015
Mode34,35.79791934,1000,0.015
Mode35,36.95901283,1000,0.015
Mode36,36.99702037,1000,0.015
Mode37,37.36556982,1000,0.015
Mode38,37.41225782,1000,0.015
Mode39,37.43714691,1000,0.015
Mode40,37.82417754,1000,0.015
Mode41,39.41967903,1000,0.015
Mode42,40.3390452,1000,0.015
Mode43,41.66079157,1000,0.015
Mode44,41.98940824,1000,0.015
Mode45,42.37307238,1000,0.015
Mode46,43.98743824,1000,0.015
Mode47,45.79712969,1000,0.015
Mode48,46.06803034,1000,0.015
Mode49,46.07774374,1000,0.015
Mode50,46.59820126,1000,0.015
Mode51,47.4610731,1000,0.015
Mode52,48.24308983,1000,0.015
Mode53,48.31952403,1000,0.015
Mode54,48.41269239,1000,0.015
Mode55,49.05324517,1000,0.015
Mode56,49.40082472,1000,0.015
Mode57,52.17059413,1000,0.015
Mode58,52.54043325,1000,0.015
Mode59,53.94798142,1000,0.015
Mode60,54.2637211,1000,0.015
Mode61,54.27962852,1000,0.015
Mode62,55.50756687,1000,0.015
Mode63,56.12887899,1000,0.015
Mode64,56.72739755,1000,0.015
Mode65,56.90159242,1000,0.015
Mode66,57.01400287,1000,0.015
Mode67,57.88232006,1000,0.015
Mode68,59.92130202,1000,0.015
Mode69,60.54623025,1000,0.015
Mode70,60.84413242,1000,0.015
Mode71,61.00145681,1000,0.015
Mode72,61.10133568,1000,0.015
Mode73,62.34445617,1000,0.015
Mode74,62.77564697,1000,0.015
Mode75,62.96448133,1000,0.015
Mode76,64.79514146,1000,0.015
Mode77,65.49623702,1000,0.015
Mode78,65.89933656,1000,0.015
Mode79,67.57422932,1000,0.015
Mode80,67.6857069,1000,0.015
Mode81,68.1110498,1000,0.015
Mode82,68.17610158,1000,0.015
Mode83,69.08346693,1000,0.015
Mode84,69.66867584,1000,0.015
Mode85,71.25707071,1000,0.015
Mode86,71.59652906,1000,0.015
Mode87,72.32893882,1000,0.015
Mode88,72.55045113,1000,0.015
Mode89,73.0884921,1000,0.015
Mode90,73.2107344,1000,0.015
Mode91,73.80869958,1000,0.015
Mode92,73.97212502,1000,0.015
Mode93,75.56455522,1000,0.015
Mode94,75.63401269,1000,0.015
Mode95,77.86926795,1000,0.015
Mode96,78.62652139,1000,0.015
Mode97,79.13104398,1000,0.015
Mode98,79.6243616,1000,0.015
Mode99,79.96007573,1000,0.015
Mode100,80.20603755,1000,0.015
