Element,Section 1,Section 2
735,700,
734,700,
733,700,
732,700,
731,700,
730,700,
729,700,
728,700,
727,700,
726,700,
725,700,
724,700,
723,700,
722,700,
721,700,
720,700,
719,700,
718,700,
717,700,
716,700,
715,700,
714,700,
713,700,
712,700,
711,700,
710,700,
709,700,
708,700,
707,700,
706,700,
705,700,
704,700,
703,700,
702,700,
701,700,
700,700,
601,500,
600,500,
518,500,
517,500,
516,500,
515,500,
514,500,
513,500,
512,500,
511,500,
510,500,
509,500,
508,500,
507,500,
506,500,
505,500,
504,500,
503,500,
502,500,
501,500,
500,500,
401,400,
400,400,
224,220,
223,220,
222,220,
221,220,
220,220,
219,219,220
218,218,219
217,217,218
216,216,217
215,215,216
214,214,215
213,213,214
212,212,213
211,211,212
210,210,211
209,209,210
208,208,209
207,207,208
206,206,207
205,205,206
204,204,205
203,203,204
202,202,203
201,201,202
200,200,201
199,199,200
198,198,199
197,197,198
196,196,197
195,195,196
194,194,195
193,193,194
192,192,193
191,191,192
190,190,191
189,189,190
188,188,189
187,187,188
186,186,187
185,185,186
184,184,185
183,183,184
182,182,183
181,181,182
180,180,181
179,179,180
178,178,179
177,177,178
176,176,177
175,175,176
174,174,175
173,173,174
172,172,173
171,171,172
170,170,171
169,169,170
168,168,169
167,167,168
166,166,167
165,165,166
164,164,165
163,163,164
162,162,163
161,161,162
160,160,161
159,159,160
158,158,159
157,157,158
156,156,157
155,155,156
154,154,155
153,153,154
152,152,153
151,151,152
150,150,151
149,149,150
148,148,149
147,147,148
146,146,147
145,145,146
144,144,145
143,143,144
142,142,143
141,141,142
140,140,141
139,139,140
138,138,139
137,137,138
136,136,137
135,135,136
134,134,135
133,133,134
132,132,133
131,131,132
130,130,131
129,129,130
128,128,129
127,127,128
126,126,127
125,125,126
124,124,125
123,123,124
122,122,123
121,121,122
120,120,121
119,119,120
118,118,119
117,117,118
116,116,117
115,115,116
114,114,115
113,113,114
112,112,113
111,111,112
110,110,111
109,109,110
108,108,109
107,107,108
106,106,107
105,105,106
104,104,105
103,103,104
102,102,103
101,101,102
100,100,101
