Section,Type,Dim1,Dim2
700,Circular,1.6,0.0002
500,Circular,3.7,0.0002
400,Circular,3.75,0.0002
220,Circular,6.477,0.001
217,Circular,6.5278,0.001
216,Circular,6.6294,0.001
215,Circular,6.731,0.001
214,Circular,6.8326,0.001
213,Circular,6.9342,0.001
212,Circular,7.0358,0.001
211,Circular,7.1374,0.001
210,Circular,7.239,0.001
209,Circular,7.3406,0.001
208,Circular,7.4422,0.001
207,Circular,7.5438,0.001
206,Circular,7.6454,0.001
205,Circular,7.747,0.001
204,Circular,7.8486,0.001
203,Circular,7.9502,0.001
202,Circular,8.0518,0.001
201,Circular,8.1534,0.001
200,Circular,8.255,0.001
199,Circular,8.3566,0.001
198,Circular,8.4582,0.001
197,Circular,8.5598,0.001
196,Circular,8.6614,0.001
195,Circular,8.766175,0.001
194,Circular,8.874125,0.001
193,Circular,8.982075,0.001
192,Circular,9.242425,0.001
191,Circular,9.350375,0.001
190,Circular,9.305925,0.001
189,Circular,9.413875,0.001
188,Circular,9.521825,0.001
187,Circular,9.629775,0.001
186,Circular,9.737725,0.001
185,Circular,9.845675,0.001
184,Circular,9.953625,0.001
183,Circular,10.061575,0.001
182,Circular,10.169525,0.001
181,Circular,10.277475,0.001
180,Circular,10.385425,0.001
179,Circular,10.493375,0.001
178,Circular,10.601325,0.001
177,Circular,10.709275,0.001
176,Circular,10.817225,0.001
175,Circular,10.925175,0.001
174,Circular,11.033125,0.001
173,Circular,11.141075,0.001
172,Circular,11.249025,0.001
171,Circular,11.356975,0.001
170,Circular,11.464925,0.001
169,Circular,11.572875,0.001
168,Circular,11.680825,0.001
167,Circular,11.788775,0.001
166,Circular,11.8999,0.001
165,Circular,12.0142,0.001
164,Circular,12.1285,0.001
163,Circular,12.24915,0.001
162,Circular,12.37615,0.001
161,Circular,12.50315,0.001
160,Circular,12.63015,0.001
159,Circular,12.7635,0.001
158,Circular,12.9032,0.001
157,Circular,13.0429,0.001
156,Circular,13.1826,0.001
155,Circular,13.3223,0.001
154,Circular,13.46835,0.001
153,Circular,13.62075,0.001
152,Circular,13.77315,0.001
151,Circular,13.92555,0.001
150,Circular,14.0843,0.001
149,Circular,14.2494,0.001
148,Circular,14.4145,0.001
147,Circular,14.58595,0.001
146,Circular,14.76375,0.001
145,Circular,14.94155,0.001
144,Circular,15.1257,0.001
143,Circular,15.3162,0.001
142,Circular,15.5067,0.001
141,Circular,15.700375,0.001
140,Circular,15.897225,0.001
139,Circular,16.094075,0.001
138,Circular,16.2941,0.001
137,Circular,16.4973,0.001
136,Circular,16.7005,0.001
135,Circular,16.9037,0.001
134,Circular,17.110075,0.001
133,Circular,17.319625,0.001
132,Circular,17.529175,0.001
131,Circular,17.7419,0.001
130,Circular,17.9578,0.001
129,Circular,18.1737,0.001
128,Circular,18.392775,0.001
127,Circular,18.615025,0.001
126,Circular,18.837275,0.001
125,Circular,19.0627,0.001
124,Circular,19.2913,0.001
123,Circular,19.5199,0.001
122,Circular,19.7485,0.001
121,Circular,19.980275,0.001
120,Circular,20.09775,0.001
119,Circular,20.215225,0.001
118,Circular,20.450175,0.001
117,Circular,20.6883,0.001
116,Circular,20.9296,0.001
115,Circular,21.1709,0.001
114,Circular,21.29155,0.001
113,Circular,21.4122,0.001
112,Circular,21.656675,0.001
111,Circular,21.904325,0.001
110,Circular,22.151975,0.001
109,Circular,22.4028,0.001
108,Circular,22.6568,0.001
107,Circular,22.913975,0.001
106,Circular,23.174325,0.001
105,Circular,23.434675,0.001
104,Circular,23.695025,0.001
103,Circular,23.955375,0.001
102,Circular,24.215725,0.001
101,Circular,24.476075,0.001
100,Circular,24.60625,0.001
