Chainage,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5
0,-0.041646187,-0.066718964,-0.069019331,-0.026479444,-0.015502753
0.5,-0.001982524,-0.008588562,-0.009325398,-0.002195264,0.071160803
2,0.129410092,0.219929774,0.228521703,-0.07846944,-0.007989481
3.5,0.25485817,0.422741323,0.438036299,-0.125912017,-0.000484125
5,0.375081182,0.603214772,0.622693235,-0.169454797,0.00666118
6.5,0.4883448,0.754445104,0.774994185,-0.209495242,0.013153014
8,0.593346448,0.871788668,0.890082226,-0.246369388,0.018721426
9.5,0.689129378,0.952475594,0.965308035,-0.280364076,0.023126238
11,0.775015348,0.995267298,0.999831749,-0.311726422,0.026161805
12.5,0.85048378,0.999906142,0.994002848,-0.340924906,0.027625094
14,0.914913485,0.9661331,0.948321815,-0.368791605,0.027266167
15.5,0.967518855,0.893969186,0.863946034,-0.396357466,0.024946578
17.66666667,0.999997286,0.661118731,0.613978472,-0.432539891,-0.002133826
19.83333333,0.963278941,0.26734889,0.213618456,-0.461756562,-0.07476503
21.73611008,0.854623816,-0.069207004,-0.149388424,-0.714650537,-0.286105831
23.90277675,0.699851307,-0.171037368,-0.249154106,-0.999931804,-0.428292378
26.06944342,0.512215297,-0.144806797,-0.210795429,-0.960473622,-0.407678338
27.56944342,0.378959124,-0.076432466,-0.137203098,-0.789627603,-0.321637886
29.06944342,0.252267309,0.002679564,-0.060365886,-0.579015087,-0.222246999
30.56944342,0.140706878,0.079975227,0.002812344,-0.355997917,-0.130915251
32.06944342,0.055465503,0.138405804,0.029479473,-0.160048336,-0.078469731
33.56944342,0.013852172,0.151856866,-0.019019185,-0.051526804,-0.118716168
35.06944342,0.002449994,0.117567698,-0.069227514,-0.010889477,-0.138026477
36.56944342,0.004049321,0.029236984,-0.019231612,-0.01766348,0.017947016
37.06944342,0.007250111,0.008830028,0.050509975,-0.035286167,0.126750995
