X,Load
0,-180000
-3,-180000
-14,-180000
-17,-180000
-20.525,-180000
-22.525,-180000
-40.7625,-180000
-42.7625,-180000
-63.7625,-180000
-65.7625,-180000
-86.7625,-180000
-88.7625,-180000
-109.763,-180000
-111.763,-180000
-132.762,-180000
-134.762,-180000
-155.762,-180000
-157.762,-180000
-178.762,-180000
-180.762,-180000
-201.762,-180000
-203.762,-180000
-224.762,-180000
-226.762,-180000
-247.762,-180000
-249.762,-180000
-270.762,-180000
-272.762,-180000
-293.762,-180000
-295.762,-180000
-316.762,-180000
-318.762,-180000
-339.762,-180000
-341.762,-180000
-360,-180000
-362,-180000
-365.525,-180000
-368.525,-180000
-379.525,-180000
-382.525,-180000
